"File","Words","Smell","LowProse"
".github\docs\ops\policy\NASTIES_BUCKET.md","44","True","False"
".github\ISSUE_TEMPLATE\_legacy\bug_report.md","70","True","False"
".github\ISSUE_TEMPLATE\_legacy\feature_request.md","66","True","False"
".github\ISSUE_TEMPLATE\launch.md","38","False","True"
".github\ISSUE_TEMPLATE_LEARNING.md","18","False","True"
".github\pull_request_template.md","84","False","True"
".reports\inventory-20250827-2246.md","362","True","False"
".secrets\README.md","56","True","False"
"acknowledgements\Footprints.md","104","True","False"
"acknowledgements\README_acknowledgements.md","40","False","False"
"acknowledgements\Tributes.md","59","False","True"
"actions\README.md","45","True","False"
"admin\assets\admin_CoCivium_Progress_Map_Plan_20250810.md","1054","True","False"
"admin\bpoe\mitigations\_index.md","112","True","False"
"admin\bpoe\mitigations\2025-09-05_advisory-green-but-blocked_fix.md","168","True","False"
"admin\bpoe\mitigations\2025-09-05_mergeability-cache-and-checks.md","239","True","False"
"admin\bpoe\_index.md","122","True","False"
"admin\bpoe\20250815_070419Z_bpoe_update.md","118","True","False"
"admin\bpoe\rebase-stub-vs-canonical.md","86","True","False"
"admin\cocivai\BUS.md","75","True","False"
"admin\costage\CoStage_20250903_dumpmerged.md","93","True","False"
"admin\costage\CoStage_20250903_trustflag.md","90","True","False"
"admin\decisions\DR-20250813-cocivbus-mvp.md","97","True","False"
"admin\deprecated\SCRATCHPAD_REGEN_OLD_202507222337.md","67","True","False"
"admin\deprecated\SCRATCHPAD_REGEN_OLD_202507222348.md","205","True","False"
"admin\deprecated\TODO_REGEN_OVERVIEW_20250722.md","283","True","False"
"admin\deprecated_todo\PENDING_IDEAS.md","55","False","True"
"admin\history\ci\CI_Snapshot_20250816_033541.md","439","True","True"
"admin\history\ci\CI_Snapshot_20250816_035704.md","467","True","True"
"admin\history\ci\CI_Snapshot_20250816_040222.md","581","True","True"
"admin\history\ci\CI_Snapshot_20250816_042409.md","592","True","True"
"admin\history\ci\CI_Snapshot_20250816_042929.md","588","True","True"
"admin\history\decisions\DECISIONS_202508.md","250","True","False"
"admin\history\inventory\CIVIUM_SCAN_20250820_014135.md","18","False","True"
"admin\history\inventory\CIVIUM_SCAN_20250820_014740.md","18","False","True"
"admin\history\inventory\README_LINKS_20250819_234112.md","45","True","False"
"admin\history\inventory\README_LINKS_20250819_234413_5ix.md","74","True","False"
"admin\history\inventory\README_LINKS_20250820_005721.md","159","True","False"
"admin\history\inventory\REPO_SWEEP_20250821_225702.md","37743","True","False"
"admin\history\inventory\ROOT_INVENTORY_20250819_234112.md","56","True","False"
"admin\history\inventory\ROOT_INVENTORY_20250819_234413_5ix.md","174","True","False"
"admin\history\pads\IdeaPad_20250821_225745.md","47","True","False"
"admin\history\pads\RickPad_20250821c.md","1492","True","False"
"admin\history\retrospectives\2025-08-11_CoCivium_Sprint_Retrospective.md","546","True","True"
"admin\history\Browser_Setup_and_Launcher_20250809T054950Z.md","303","True","False"
"admin\history\DR_20250813_Emergency_Merge_Relaxation.md","142","True","False"
"admin\history\End_of_Session_Template_20250809T054950Z.md","137","True","False"
"admin\history\Intersessional_Profile_20250809T054732Z.md","427","True","False"
"admin\history\OE_Snapshot_20250815_1657.md","729","True","False"
"admin\history\README_corrupt_20250823_232752.md","48","True","False"
"admin\history\README_corrupt_20250823_233142.md","35","True","False"
"admin\history\README_corrupt_20250823_233423.md","36","True","False"
"admin\history\SESSION_CHECKPOINT.md","120","True","False"
"admin\history\Session_Starter_Prompt_20250809T054950Z.md","101","True","False"
"admin\history\Session_Summary_README_Polish_20250819_0328.md","156","True","False"
"admin\history\WORKFLOW-LEARNINGS-20250826.md","161","True","False"
"admin\hold\hold_Advisory_To_Those_Who_Awaken.md","535","True","False"
"admin\hold\hold_AI_Enablement_Seed_c1_20250802.md","477","True","False"
"admin\hold\hold_AI_Enablement_Seed_c2_20250802.md","544","True","False"
"admin\hold\hold_CC_Update_Instructions (2).md","246","True","False"
"admin\hold\hold_Civium_Regulations_RegulatoryPowerCaps_c1_20250731 (1).md","421","True","False"
"admin\hold\hold_Civium_Term_Psalter (1).md","325","False","True"
"admin\hold\hold_CONGRUENCE_DECLARATION_c99_20250719.md","232","True","False"
"admin\hold\hold_Echo_Of_Soulstuff_Dialogue_c1_20250722.md","395","True","False"
"admin\hold\hold_Genexis_Origin_a5_20250716_1640EST (1).md","632","True","False"
"admin\hold\hold_Genexis_Origin_alpha20250716_1640EST (1).md","615","True","False"
"admin\hold\hold_Genexis_Origin_sd2025.197 (1) (1).md","615","True","False"
